product_name,category,carbon_kg_co2_per_kg
BEER IN CAN,AGRICULTURAL PROCESSED,0.693
BEER IN GLASS,AGRICULTURAL PROCESSED,0.9605
BEER MODULAR CAN,AGRICULTURAL PROCESSED,0.5306
CHOCOLATE OR CREAM FILLED COOKIES**,AGRICULTURAL PROCESSED,1.533
SIMPLE COOKIES**,AGRICULTURAL PROCESSED,1.39075
MINERAL WATER*,AGRICULTURAL PROCESSED,0.491
BREAD MULTICEREAL**,AGRICULTURAL PROCESSED,0.703
BREAD PLAIN**,AGRICULTURAL PROCESSED,0.885
BREAD WHOLE**,AGRICULTURAL PROCESSED,0.772
BREAD FROZEN (F)*,AGRICULTURAL PROCESSED,1.31
CORNFLAKES*,AGRICULTURAL PROCESSED,2.64
DARK CHOCOLATE,AGRICULTURAL PROCESSED,2.71
MILK CHOCOLATE,AGRICULTURAL PROCESSED,3.6
COFFEE GROUND,AGRICULTURAL PROCESSED,5.129285715
COFFEE PARCHMENT,AGRICULTURAL PROCESSED,8.29
COFFEE DRIP FILTERED (L),AGRICULTURAL PROCESSED,0.595
COFFEE SOLUBLE POWDER (L),AGRICULTURAL PROCESSED,0.33
ESPRESSO (L),AGRICULTURAL PROCESSED,0.55
FLAVORED CRACKERS**,AGRICULTURAL PROCESSED,0.9265
PLAIN CRACKERS**,AGRICULTURAL PROCESSED,1.34825
WHOLEGRAIN CRACKERS**,AGRICULTURAL PROCESSED,0.9725
CRISPBREAD**,AGRICULTURAL PROCESSED,1.348
KETCHUP,AGRICULTURAL PROCESSED,1.464
MAYONNAISE,AGRICULTURAL PROCESSED,2.04
TEMPE',AGRICULTURAL PROCESSED,1.1
EGG PASTA*,AGRICULTURAL PROCESSED,3.1511
RASPBERRIES (F)*,AGRICULTURAL PROCESSED,1.175
APPLE JUICE (I),AGRICULTURAL PROCESSED,2.84
BLUEBERRY JUICE (I),AGRICULTURAL PROCESSED,3.0
CRANBERRY JUICE (I),AGRICULTURAL PROCESSED,2.88
FIG JUICE (I),AGRICULTURAL PROCESSED,3.2
KIWI JUICE (I),AGRICULTURAL PROCESSED,2.84
MANGO JUICE (I),AGRICULTURAL PROCESSED,2.96
PINEAPPLE JUICE (I),AGRICULTURAL PROCESSED,2.78
STRAWBERRY JUICE (I),AGRICULTURAL PROCESSED,2.68
ORANGE JUICE,AGRICULTURAL PROCESSED,0.461
PEAR JUICE,AGRICULTURAL PROCESSED,0.49045
BUCKWHEAT FLOUR,AGRICULTURAL PROCESSED,1.96
DURUM WHEAT,AGRICULTURAL PROCESSED,0.46712
GRAHAM FLOUR,AGRICULTURAL PROCESSED,0.47
